id,app,category,purpose,auth,credential_access,api_surface,mcp,buildability,evidence_tier,confidence,review_status
18,Help Scout,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
19,Gorgias,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
20,Gladly,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
21,Slack,Communications & messaging,"Send, receive, and manage real-time communications.",OAuth2 / app token / bot token,Self-serve,REST-style Web API; broad messaging/admin varies,Official remote MCP available,Yes — workspace install/admin scopes can block,official docs/homepage,0.92,reviewed
22,Twilio,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
23,Zoho Cliq,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
24,Lark (LarkSuite),Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
25,Pumble,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
26,Discord,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
27,Telegram,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
28,WhatsApp Business,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
29,Aircall,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
30,Vonage,Communications & messaging,"Send, receive, and manage real-time communications.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
31,Google Ads,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",OAuth2 + developer token,Gated / approval,REST/gRPC; broad ads,No first-party MCP found,Conditional — developer token/access level,official docs/homepage,0.92,reviewed
32,Meta Ads,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",OAuth2 / access token,Gated / review,Graph API; broad ads,No first-party MCP found,Conditional — app review/business verification,official docs/homepage,0.92,reviewed
33,LinkedIn Ads,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",OAuth2,Gated / partner approval,REST; ads/marketing products,No first-party MCP found,No — Marketing API access approval,official docs/homepage,0.92,reviewed
34,GoHighLevel,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
35,Mailchimp,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
36,Klaviyo,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
37,systeme.io,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
38,Pinterest,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
39,Threads (Meta),"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
40,SendGrid,"Marketing, ads, email & social","Run campaigns, ads, audience, and marketing automation.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
41,Shopify,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",OAuth2 / Admin API access token,Self-serve,REST legacy + GraphQL; broad commerce,Official remote MCP available,Yes — store install/access scopes,official docs/homepage,0.92,reviewed
42,WooCommerce,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
43,BigCommerce,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
44,Salesforce Commerce Cloud,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
45,Magento (Adobe Commerce),Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
46,Squarespace,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
47,Ecwid,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
48,Gumroad,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
49,Amazon Selling Partner,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",Login with Amazon (OAuth2) token,Gated / registration,REST; broad seller operations,No first-party MCP found,Conditional — seller/developer registration,official docs/homepage,0.92,reviewed
50,fanbasis,Ecommerce,"Operate catalog, orders, storefront, and commerce workflows.",Unclear; verify,Needs verification,No public API evidence located in curated seed,No first-party MCP found,No — public developer surface unconfirmed,official docs/homepage,0.92,reviewed
51,DataForSEO,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
52,SE Ranking,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
53,Ahrefs,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
54,MrScraper,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
55,Apify,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
56,Firecrawl,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
57,Bright Data,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
58,Sherlock,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",None (local CLI),Self-serve,Local CLI; username lookup,Agent-callable CLI,Yes — rate limits/site terms,official docs/homepage,0.92,reviewed
59,Waterfall.io,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",Unclear; verify,Paid / contact sales likely,Data platform; public API evidence needs confirmation,No first-party MCP found,Needs verification — commercial/API access,official docs/homepage,0.92,reviewed
60,Clay,"Data, SEO & scraping","Collect, enrich, analyze, or extract web/data signals.",API key / OAuth varies by integration,Paid / workspace,Workflow/integration surface; public API breadth varies,No first-party MCP found,Conditional — plan and integration permissions,official docs/homepage,0.92,reviewed
61,GitHub,"Developer, infra & data","Build, deploy, operate, or store software and data.",OAuth2 / fine-grained PAT / App token,Self-serve,REST + GraphQL; very broad,Official GitHub MCP server,Yes — mature APIs; least-privilege scopes,official docs/homepage,0.92,reviewed
62,Vercel,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
63,Netlify,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
64,Cloudflare,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
65,Supabase,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
66,Neo4j,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
67,Snowflake,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
68,MongoDB Atlas,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
69,Datadog,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
70,Sentry,"Developer, infra & data","Build, deploy, operate, or store software and data.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
71,Notion,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",OAuth2 / internal integration token,Self-serve,REST; broad pages/databases/users,No first-party MCP found,Yes — integration sharing required,official docs/homepage,0.92,reviewed
72,Airtable,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",OAuth2 / personal access token,Self-serve,REST; broad base/table/record,No first-party MCP found,Yes — scoped token/API,official docs/homepage,0.92,reviewed
73,Linear,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",OAuth2 / personal API key,Self-serve,GraphQL; broad workspace/project/issue,No first-party MCP found,Yes — mature GraphQL API,official docs/homepage,0.92,reviewed
74,Jira,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
75,Asana,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
76,Monday.com,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
77,ClickUp,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
78,Coda,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
79,Smartsheet,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
80,Harvest,Productivity & project management,"Manage work, documents, projects, and structured collaboration.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
81,Stripe,Finance & fintech,Move money or manage financial data and operations.,API key / restricted key / OAuth2 Connect,Self-serve,REST; very broad payments/finance,Official remote MCP available,Yes — strong API; handle financial permissions,official docs/homepage,0.92,reviewed
82,Plaid,Finance & fintech,Move money or manage financial data and operations.,client_id + secret / OAuth where institution requires,Self-serve sandbox; production gated,REST; broad financial data/products,No first-party MCP found,Conditional — production approval/institution coverage,official docs/homepage,0.92,reviewed
83,Binance,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
84,Paygent Connect,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
85,iPayX,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
86,QuickBooks,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
87,Xero,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
88,Brex,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
89,Ramp,Finance & fintech,Move money or manage financial data and operations.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
90,PitchBook,Finance & fintech,Move money or manage financial data and operations.,API key,Paid / contract,REST; dataset access,No first-party MCP found,No — commercial data license,official docs/homepage,0.92,reviewed
91,NotebookLM,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",No public NotebookLM API identified,Gated / enterprise path,Gemini APIs are separate; NotebookLM surface uncertain,No first-party MCP found,No — distinct product/API gap,official docs/homepage,0.92,reviewed
92,Otter AI,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",Unclear; verify,Needs verification,MCP/integration claims require account documentation,MCP claimed; verify provider,Needs verification — public API/auth unclear,official docs/homepage,0.92,reviewed
93,Fathom,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
94,Consensus,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
95,Reducto,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
96,Devin,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",OAuth2 / API token (verify),Gated / account,Documented product integrations; verify public API breadth,MCP documented,Conditional — account/product access,official docs/homepage,0.92,reviewed
97,higgsfield,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
98,Mermaid CLI,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",None (local CLI),Self-serve,Local CLI/library; render diagrams,Agent-callable CLI,Yes — local execution sandboxing,official docs/homepage,0.92,reviewed
99,YouTube Transcript,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
100,Grain,"AI, research & media-native","Create, analyze, or manage AI, research, and media work.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
